jisuCity,Country,Continent,Population,GDP_Billion_USD,Avg_Temperature_C,Annual_Rainfall_mm,Cost_of_Living_Index,Happiness_Index,Year,Area_km2,Literacy_Rate,Internet_Penetration
Tokyo,Japan,Asia,37400068,1520.0,15.4,1528,87.2,7.3,2023,2194,99.0,91.3
Delhi,India,Asia,32226000,293.6,25.0,797,43.5,4.0,2023,1484,86.3,54.0
Shanghai,China,Asia,28516000,661.8,16.1,1173,71.4,5.5,2023,6341,97.3,70.4
Dhaka,Bangladesh,Asia,22478000,171.0,26.4,2123,33.1,4.6,2023,306,75.6,38.9
São Paulo,Brazil,South America,22429000,430.5,19.8,1454,56.7,6.4,2023,1521,96.2,74.9
Cairo,Egypt,Africa,21750000,469.0,22.1,18,41.2,4.2,2023,606,75.8,57.3
Mexico City,Mexico,North America,21919000,411.0,16.0,820,48.9,6.5,2023,1485,95.4,70.1
Beijing,China,Asia,21893000,612.0,12.9,571,68.5,5.2,2023,16411,98.9,72.0
Mumbai,India,Asia,21357000,310.0,27.2,2167,62.1,5.7,2023,603,89.7,64.1
Osaka,Japan,Asia,18967000,341.0,15.8,1279,73.4,6.9,2023,225,99.0,90.5
Chongqing,China,Asia,17341000,352.0,18.3,1200,55.2,5.4,2023,82403,96.8,68.7
Karachi,Pakistan,Asia,16459000,164.0,26.5,196,35.8,4.7,2023,3527,62.3,35.4
Istanbul,Turkey,Europe,15636000,231.0,13.9,844,47.3,5.6,2023,5343,96.7,77.7
Kinshasa,Congo,Africa,15628000,47.3,25.3,1543,28.5,4.1,2023,9965,77.0,17.1
Lagos,Nigeria,Africa,15388000,136.0,26.9,1693,45.2,5.1,2023,999,66.8,51.9
Buenos Aires,Argentina,South America,15369000,191.3,17.9,1236,50.9,6.1,2023,203,98.1,76.0
Kolkata,India,Asia,15133000,150.0,26.8,1582,41.7,5.3,2023,205,87.9,47.9
Manila,Philippines,Asia,14946000,254.0,27.4,1873,48.6,5.8,2023,619,96.3,60.1
Tianjin,China,Asia,14011000,277.0,12.6,524,51.3,5.1,2023,11946,98.5,69.2
Guangzhou,China,Asia,13635000,395.0,22.4,1696,59.8,5.9,2023,7434,99.1,74.8
Rio de Janeiro,Brazil,South America,13634000,201.4,23.2,1173,52.4,6.7,2023,1221,95.7,67.5
Lahore,Pakistan,Asia,13541000,84.0,24.3,628,32.1,4.5,2023,1772,64.7,27.3
Bangalore,India,Asia,13608000,110.0,23.9,970,49.3,6.2,2023,741,88.7,77.6
Shenzhen,China,Asia,13439000,373.9,22.3,1966,72.8,6.1,2023,1997,99.2,87.4
Moscow,Russia,Europe,12680000,240.0,5.8,707,52.6,5.5,2023,2561,99.7,85.0
Chennai,India,Asia,11503000,78.6,28.6,1276,45.8,5.4,2023,426,90.2,69.3
Bogotá,Colombia,South America,11344000,106.4,14.0,1013,39.1,6.3,2023,1587,95.1,68.9
Paris,France,Europe,11208000,765.0,12.3,637,81.3,6.7,2023,105,99.0,92.3
Jakarta,Indonesia,Asia,11075000,171.0,26.6,1760,46.8,5.3,2023,664,95.4,56.7
Lima,Peru,South America,10882000,69.0,18.2,10,42.1,5.8,2023,2672,95.0,60.0
Bangkok,Thailand,Asia,10156000,181.0,28.6,1498,52.4,6.0,2023,1569,96.7,82.0
London,United Kingdom,Europe,9648000,653.0,11.0,594,71.9,7.0,2023,1572,99.0,96.0
Tehran,Iran,Asia,9500000,95.0,17.0,230,40.3,4.3,2023,686,85.0,58.7
Nanjing,China,Asia,9429000,223.0,15.7,1062,55.7,5.7,2023,6587,98.8,78.9
Ho Chi Minh City,Vietnam,Asia,9321000,171.0,27.4,1949,41.2,5.4,2023,2061,95.8,70.3
Luanda,Angola,Africa,8952000,88.8,24.8,323,51.2,3.9,2023,113,71.1,25.0
New York,United States,North America,8336000,1210.0,12.9,1174,100.0,6.8,2023,783,99.0,87.9
Pune,India,Asia,8231000,69.4,24.6,722,44.1,6.0,2023,729,86.2,65.4
Surat,India,Asia,7784000,40.0,27.2,1124,41.8,5.6,2023,326,87.9,78.2
Hyderabad,India,Asia,7749000,74.2,26.8,789,42.3,5.9,2023,650,83.3,69.0
Ahmedabad,India,Asia,7692000,68.0,26.8,782,39.7,5.7,2023,505,89.6,65.8
Kuala Lumpur,Malaysia,Asia,7564000,178.0,27.3,2486,53.3,6.1,2023,243,94.6,81.2
Xiamen,China,Asia,7541000,75.6,20.7,1387,58.2,6.3,2023,1700,99.0,83.1
Singapore,Singapore,Asia,5454000,372.1,27.0,2340,85.9,6.4,2023,719,97.0,84.4
Sydney,Australia,Oceania,5312000,337.0,18.6,1142,77.8,7.2,2023,12368,99.0,88.2
Toronto,Canada,North America,6417000,223.0,8.5,831,67.0,7.3,2023,630,99.0,94.0
Madrid,Spain,Europe,6751000,230.0,15.0,436,58.0,6.4,2023,604,98.4,91.4
Philadelphia,United States,North America,6245000,431.0,13.1,1009,75.6,6.2,2023,370,87.0,83.2
Wuhan,China,Asia,6081000,194.0,16.3,1269,48.9,5.8,2023,8494,98.1,75.6
Dalian,China,Asia,5900000,122.0,10.4,578,52.1,5.9,2023,12574,98.9,78.4
Hanoi,Vietnam,Asia,5067000,40.2,23.6,1676,35.0,5.2,2023,3359,95.8,68.7
Barcelona,Spain,Europe,5611000,177.0,15.8,640,62.5,6.6,2023,101,98.0,87.3
Miami,United States,North America,6198000,344.9,24.9,1570,74.7,6.5,2023,143,89.0,85.1
Phoenix,United States,North America,5015000,230.0,23.9,204,63.2,6.3,2023,1338,87.0,85.6 
